iter	Passed	Remaining
0	1	589
1	1	427
2	2	362
3	2	329
4	3	308
5	3	292
6	4	283
7	4	275
8	4	269
9	5	264
10	5	261
11	6	256
12	6	259
13	7	256
14	7	254
15	8	252
16	9	256
17	9	257
18	10	271
19	11	270
20	11	269
21	12	267
22	12	265
23	13	262
24	13	260
25	14	257
26	14	257
27	15	254
28	15	252
29	16	251
30	16	249
31	16	247
32	17	246
33	18	250
34	19	252
35	19	251
36	20	250
37	20	249
38	20	248
39	21	246
40	21	245
41	22	246
42	23	247
43	23	246
44	24	245
45	24	244
46	25	243
47	25	241
48	26	240
49	26	240
50	27	239
51	27	238
52	28	237
53	28	235
54	29	234
55	29	233
56	30	233
57	30	233
58	31	232
59	31	231
60	32	230
61	33	234
62	33	233
63	34	231
64	34	230
65	34	229
66	35	228
67	35	227
68	36	226
69	36	225
70	37	225
71	37	224
72	38	228
73	39	227
74	39	226
75	40	225
76	40	224
77	41	223
78	41	222
79	42	221
80	42	220
81	43	219
82	43	218
83	43	217
84	44	216
85	45	218
86	45	217
87	46	217
88	47	217
89	47	216
90	47	215
91	48	214
92	48	213
93	49	215
94	50	214
95	50	214
96	51	213
97	51	212
98	52	211
99	52	211
100	53	210
101	53	209
102	54	210
103	55	209
104	55	209
105	56	208
106	56	207
107	56	206
108	57	205
109	57	205
110	58	204
111	58	203
112	59	204
113	60	204
114	60	203
115	61	202
116	61	202
117	62	201
118	62	200
119	63	199
120	63	199
121	64	198
122	64	198
123	65	197
124	65	197
125	66	196
126	66	195
127	67	194
128	67	194
129	67	193
130	68	192
131	68	192
132	69	191
133	69	190
134	70	190
135	70	189
136	71	188
137	71	187
138	72	187
139	72	186
140	73	185
141	73	185
142	73	184
143	74	183
144	74	183
145	75	182
146	75	182
147	76	181
148	76	180
149	77	180
150	77	179
151	78	178
152	79	179
153	79	178
154	80	179
155	81	179
156	81	178
157	82	178
158	82	177
159	83	176
160	83	176
161	84	176
162	85	176
163	85	175
164	86	175
165	87	175
166	87	174
167	88	174
168	88	174
169	89	173
170	89	172
171	90	172
172	90	171
173	91	171
174	92	170
175	92	170
176	92	169
177	93	169
178	93	168
179	94	167
180	94	167
181	95	166
182	95	166
183	96	165
184	96	164
185	97	164
186	97	163
187	98	163
188	98	162
189	99	161
190	99	161
191	100	160
192	100	160
193	101	159
194	101	159
195	102	158
196	102	158
197	103	157
198	103	157
199	104	156
200	105	156
