ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL3261567,C=CCN(CC=C)C(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1,inactive,50000.0,4.301029995663981
CHEMBL560335,C=CCc1cc(/C=C2\SC(=O)NC2=O)c(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive,76900.0,4.114073660198569
CHEMBL565219,C=CCc1cc(/C=C2\SC(=O)NC2=O)c(O)c(-c2ccc(O)c(CC=C)c2)c1,inactive,91600.0,4.03810452633215
CHEMBL558653,C=CCc1ccc(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive,101800.0,3.99225222199926
CHEMBL3818310,CC(C)(C)N1/C(=N/c2ccc(Cl)c(C(F)(F)F)c2)SCC1(O)C(F)(F)F,active,3260.0,5.486782399932061
CHEMBL5179225,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,inactive,19340.0,4.713543530253017
CHEMBL5195197,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,inactive,43870.0,4.357832365595055
OWN_2,O=C1N(CCc2c[NH]c3ccccc32)C(=N\CC)/SC1CC(O)=O,inactive,100000.0,4.0
OWN_16,CC1SC(N(C2CCC(C)CC2)C1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
OWN_21,CC1CCC(CC1)N1C(SCC1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
CHEMBL2316327,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=O)N(C)C1=O,inactive,50000.0,4.301029995663981
CHEMBL2316323,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=O)NC1=O,inactive,65500.0,4.183758700008217
CHEMBL2316329,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)N(CC(=O)O)C1=O,inactive,50000.0,4.301029995663981
CHEMBL2316324,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)NC1=O,inactive,47500.0,4.323306390375134
OWN_13,CC1SC(N(C2CCC(Br)CC2)C1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
OWN_12,CC1SC(N(C2CCC(Cl)CC2)C1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
OWN_14,CC1SC(N(C2CCC(Cl)CC2Cl)C1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
OWN_11,CC1SC(N(C2CCC(F)CC2)C1=O)C1=CN=C2SC(=CN12)C1CCCCC1,inactive,100000.0,4.0
