fragment_index,fragment_smiles,attempts,usage_percentage
0,[*]C(=O)C[*],2138,88.97211818560133
1,[*]C(=O)NN1C(=O)CSC1[*],2215,92.17644610903038
2,[*]C(F)(F)F,2148,89.38826466916355
3,[*]C([*])=O,2164,90.05409904286309
4,[*]C1SC(=O)N([*])C1=O,2129,88.59758635039535
5,[*]C1SC(=O)NC1=O,2149,89.42987931751976
6,[*]C1SC(=S)N([*])C1=O,2176,90.55347482313775
7,[*]CCC[*],2403,100.0
8,[*]C[*],2244,93.3832709113608
9,[*]N1/C(=N/c2ccc(Cl)c([*])c2)SCC1([*])O,2164,90.05409904286309
10,[*]N1CCCS1(=O)=O,2181,90.76154806491886
11,[*]N1CCOCC1,2171,90.34540158135663
12,[*]N[*],2218,92.30129005409904
13,[*]OC,2278,94.79816895547233
14,[*]O[*],2145,89.26342072409487
15,[*]c1c(F)cccc1F,2249,93.5913441531419
16,[*]c1cc2nccc([*])c2cc1[*],2139,89.01373283395755
17,[*]c1ccc(C)cc1,2183,90.84477736163129
18,[*]c1ccc([*])cc1,2201,91.59384103204327
19,[*]c1n[nH]c2ccc([*])cc12,2214,92.13483146067416
20,[*]c1nc2cc([*])ccc2[nH]1,2224,92.55097794423637
21,[*]n1c([*])nc2ccccc21,2225,92.5925925925926
22,[H][*],2242,93.30004161464835
