SMILES,core,fragments,qsar,qed,sa,score,cafe_enrichment,cafe_boost,rank
COCCc1ccc2[nH]nc(N3CCCS3(=O)=O)c2c1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]CC[*] (AC); [*]OC,0.8108265556828209,0.9220142940106776,0.802741249904775,0.8298299810371739,44.656168,0.0071779579376214375,1
O=S1(=O)CCCN1c1n[nH]c2ccc(OCCN3CCOCC3)cc12,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]O[*]; [*]CC[*] (AC); [*]N1CCOCC1,0.842919540572871,0.842725873001159,0.8090438329081332,0.8293305239926335,44.656168,0.0012973901282579137,2
O=S1(=O)CCCN1c1n[nH]c2ccc(CN3CCOCC3)cc12,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]C[*]; [*]N1CCOCC1,0.8087977043121415,0.9022240524594971,0.8104896871718064,0.8281597670854786,0.0,0.0,3
COCC(=O)Nc1ccc2[nH]nc(N3CCCS3(=O)=O)c2c1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]N[*]; [*]C(=O)C[*]; [*]OC,0.8230524009043555,0.8607199121549014,0.812015298332985,0.8261710621259165,0.0,0.0,4
O=S1(=O)CCCN1c1n[nH]c2ccc(OCN3CCCC3)cc12,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]O[*]; [*]C[*]; [*]N1CCCC1 (AC),0.8097913233701161,0.9160467759963911,0.7970979535323115,0.8259650659602493,8.022975,0.0019799813077699957,5
O=C(CCc1ccc2[nH]nc(N3CCCS3(=O)=O)c2c1)N1CCCC1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]CC[*] (AC); [*]C([*])=O; [*]N1CCCC1 (AC),0.8037612824599093,0.8960886671216322,0.8125406746128517,0.8257385162534309,52.679143,0.009166992708381505,6
[H]c1ccc2[nH]nc(NC(=O)CCN3CCCS3(=O)=O)c2c1,[*]N1CCCS1(=O)=O,[*]CC[*] (AC); [*]C([*])=O; [*]N[*]; [*]c1n[nH]c2ccc([*])cc12; [H][*],0.7991447636903288,0.8779784674311683,0.8217975464477075,0.8239726175414483,44.656168,0.009318474632534102,7
CN1CCN(C(=O)c2ccc3[nH]nc(N4CCCS4(=O)=O)c3c2)CC1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]C([*])=O; [*]N1CCN(C)CC1 (AC),0.8181749098582185,0.8387574526118172,0.813593657037313,0.8204589172805762,14.838942,0.002693891447622443,8
CN1CCN(c2ccc3[nH]nc(ON4CCCS4(=O)=O)c3c2)CC1,[*]N1CCCS1(=O)=O,[*]O[*]; [*]c1n[nH]c2ccc([*])cc12; [*]N1CCN(C)CC1 (AC),0.8461654150363648,0.8741367635269658,0.7672104762567762,0.8201777092226497,14.838942,0.000324585275098932,9
O=C(CN1CCOCC1)Nc1ccc2[nH]nc(N3CCCS3(=O)=O)c2c1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]N[*]; [*]C(=O)C[*]; [*]N1CCOCC1,0.8302516956213865,0.7949217286341571,0.8150909456151487,0.8171214022214455,0.0,0.0,10
CN1CCN(c2ccc3[nH]nc(C(=O)ON4CCCS4(=O)=O)c3c2)CC1,[*]N1CCCS1(=O)=O,[*]O[*]; [*]C([*])=O; [*]c1n[nH]c2ccc([*])cc12; [*]N1CCN(C)CC1 (AC),0.8500041912304155,0.8251736553863429,0.7763444480406512,0.8155741867856954,14.838942,0.0,11
COc1ccc2[nH]nc(-c3ccc(N4CCCS4(=O)=O)cc3)c2c1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1n[nH]c2ccc([*])cc12; [*]OC,0.7911625833310598,0.7933430327917538,0.8465076891887716,0.8137367155662835,0.0,0.0,12
COc1nc2ccccc2n1Nc1ccc(N2CCCS2(=O)=O)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]N[*]; [*]n1c([*])nc2ccccc21; [*]OC,0.833505696121332,0.7752394633456849,0.8119560592282363,0.8132325948089644,0.0,0.0,13
COc1cc2c(NN3CCOCC3)ccnc2cc1N1CCCS1(=O)=O,[*]N1CCCS1(=O)=O,[*]c1cc2nccc([*])c2cc1[*]; [*]N[*]; [*]OC; [*]N1CCOCC1,0.812824300183409,0.8617842392697092,0.7893346379228413,0.8132204230964419,0.0,0.0,14
O=S1(=O)CCCN1CCOc1ccc(Nc2ccccc2F)cc1,[*]N1CCCS1(=O)=O,[*]CC[*] (AC); [*]O[*]; [*]c1ccc([*])cc1; [*]N[*]; [*]c1ccccc1F (AC),0.7369243738752933,0.8701062181044574,0.8594182800471886,0.8125583051898841,50.041795,0.02190418169024,15
O=S1(=O)CCCN1Nc1nc2cc(N3CCOCC3)ccc2[nH]1,[*]N1CCCS1(=O)=O,[*]N[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCOCC1,0.8288868883212813,0.8593732189550076,0.771143648136215,0.811886858374,0.0,0.0,16
O=S1(=O)CCCN1Oc1n[nH]c2ccc(CN3CCOCC3)cc12,[*]N1CCCS1(=O)=O,[*]O[*]; [*]c1n[nH]c2ccc([*])cc12; [*]C[*]; [*]N1CCOCC1,0.8203907037400142,0.8725549417110656,0.7708131072489723,0.8109925127378078,0.0,0.0,17
O=S1(=O)CCCN1Nc1nc2cc(CN3CCOCC3)ccc2[nH]1,[*]N1CCCS1(=O)=O,[*]N[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]C[*]; [*]N1CCOCC1,0.8261398747808095,0.8450719368160825,0.7778748654907306,0.8106202834718327,0.0,0.0,18
COc1ccc(Nc2ccc(N3CCCS3(=O)=O)cc2F)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])c(F)c1 (AC); [*]N[*]; [*]c1ccc([*])cc1; [*]OC,0.688134751773263,0.9318903193118335,0.8685549101692452,0.8090539286393701,5.065782,0.005191190297743065,19
COc1ccc(-c2ccc3[nH]nc(N4CCCS4(=O)=O)c3c2)cc1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]c1ccc([*])cc1; [*]OC,0.7915454697868233,0.7933430327917538,0.8342490492779577,0.8089864141842632,0.0,0.0,20
O=S1(=O)CCCN1c1ccc(NN2CCOCC2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]N[*]; [*]N1CCOCC1,0.7452033730174503,0.8974233443997338,0.8254232965332826,0.80773533670024,0.0,0.0,21
COCc1ccc2[nH]nc(Oc3ccc(N4CCCS4(=O)=O)cc3F)c2c1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])c(F)c1 (AC); [*]O[*]; [*]c1n[nH]c2ccc([*])cc12; [*]C[*]; [*]OC,0.8536162470248666,0.7221198331075204,0.8043946400488556,0.807628321450993,5.065782,0.0,22
[H]c1cc(N2CCCS2(=O)=O)c(-c2n[nH]c3ccc(COC)cc23)cc1OC,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [H][*]; [*]OC; [*]c1n[nH]c2ccc([*])cc12; [*]C[*]; [*]OC,0.8410726018024849,0.7276207288596621,0.8133896450438607,0.8073090445104707,6.439714,0.0003587846300613373,23
CONc1ccc(-c2ccc(N3CCCS3(=O)=O)cc2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1ccc([*])cc1; [*]N[*]; [*]OC,0.7242724414967748,0.8807749927109104,0.8510060738656962,0.8062664046871705,0.0,0.0,24
O=S1(=O)CCCN1c1n[nH]c2ccc(COC(F)(F)F)cc12,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]C[*]; [*]O[*]; [*]C(F)(F)F,0.7728699900565488,0.9323924126092749,0.7756969563893654,0.8059052611002208,0.0,0.0,25
O=S1(=O)CCCN1c1n[nH]c2ccc(Oc3ccccc3F)cc12,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]O[*]; [*]c1ccccc1F (AC),0.7975569935002267,0.7901093296388304,0.8220189489435098,0.8058522429052608,5.385627,0.001782159027700736,26
O=S1(=O)CCCN1c1ccc(Oc2n[nH]c3ccc(N4CCCC4)cc23)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]O[*]; [*]c1n[nH]c2ccc([*])cc12; [*]N1CCCC1 (AC),0.8311844557339615,0.7277652477489716,0.8185696432551178,0.8054546891454261,8.022975,0.0009265270350774513,27
O=S1(=O)CCCN1c1ccc(CNN2CCOCC2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]C[*]; [*]N[*]; [*]N1CCOCC1,0.7498052002082067,0.8804195318475212,0.8223482988646895,0.8049453059986628,0.0,0.0,28
[H]CCc1ccc2[nH]nc(-c3ccc(N4CCCS4(=O)=O)cc3)c2c1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1n[nH]c2ccc([*])cc12; [*]CC[*] (AC); [H][*],0.7672837864646068,0.794464548318431,0.8396894060226623,0.8016821866585939,44.656168,0.015156530447234418,29
O=S1(=O)CCCN1c1ccc(Nc2n[nH]c3ccc(N4CCCC4)cc23)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]N[*]; [*]c1n[nH]c2ccc([*])cc12; [*]N1CCCC1 (AC),0.82454186795758,0.7047572024729472,0.8270846526359811,0.8016020487320138,8.022975,0.0012536255803372587,30
COCCNc1ccc(N2CCCS2(=O)=O)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]N[*]; [*]CC[*] (AC); [*]OC,0.7306847065438912,0.8190037073824122,0.86005710953031,0.800097467906163,44.656168,0.021862773944728908,31
O=C(NN1CCCC1)c1ccc(N2CCCS2(=O)=O)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]C([*])=O; [*]N[*]; [*]N1CCCC1 (AC),0.7037076256902703,0.9029936699495879,0.8441675464477076,0.7997488028451087,8.022975,0.007203822430387641,32
COc1ccc(-c2ccc(NN3CCCS3(=O)=O)cc2)cc1F,[*]N1CCCS1(=O)=O,[*]N[*]; [*]c1ccc([*])cc1; [*]c1ccc([*])c(F)c1 (AC); [*]OC,0.7080026652343152,0.9326414535454735,0.8250429575065235,0.7997465398054302,5.065782,0.004554005227288882,33
