model,backbone,ACC,AUPRC_active,AUPRC_cliff,AUROC,Brier,Cliff_Brier,Cliff_ECE,Cliff_F1,Cliff_NodeShare,Cliff_RMSE,Delta_RMSE,ECE,F1,MCC,RMSE,Threshold
LogReg,ecfp1024,"0.841 (95% CI, 0.814-0.868)","0.860 (95% CI, 0.814-0.899)","0.799 (95% CI, 0.664-0.906)","0.913 (95% CI, 0.879-0.939)","0.108 (95% CI, 0.091-0.128)","0.211 (95% CI, 0.126-0.290)","0.290 (95% CI, 0.186-0.385)","0.641 (95% CI, 0.460-0.802)","0.146 (95% CI, 0.090-0.210)","0.409 (95% CI, 0.267-0.534)","0.081 (95% CI, -0.047-0.194)","0.230 (95% CI, 0.205-0.253)","0.737 (95% CI, 0.662-0.793)","0.642 (95% CI, 0.572-0.704)","0.326 (95% CI, 0.300-0.356)","0.570 (95% CI, 0.430-0.712)"
KNN,ecfp1024,"0.780 (95% CI, 0.749-0.807)","0.812 (95% CI, 0.765-0.852)","0.710 (95% CI, 0.557-0.843)","0.889 (95% CI, 0.857-0.916)","0.123 (95% CI, 0.112-0.135)","0.257 (95% CI, 0.174-0.328)","0.323 (95% CI, 0.220-0.420)","0.534 (95% CI, 0.294-0.760)","0.146 (95% CI, 0.090-0.210)","0.472 (95% CI, 0.338-0.571)","0.123 (95% CI, -0.008-0.216)","0.158 (95% CI, 0.145-0.173)","0.662 (95% CI, 0.608-0.711)","0.547 (95% CI, 0.505-0.589)","0.349 (95% CI, 0.334-0.366)","0.347 (95% CI, 0.247-0.452)"
SVC,ecfp1024,"0.837 (95% CI, 0.809-0.864)","0.799 (95% CI, 0.743-0.849)","0.789 (95% CI, 0.644-0.904)","0.894 (95% CI, 0.859-0.921)","0.113 (95% CI, 0.098-0.130)","0.208 (95% CI, 0.143-0.270)","0.285 (95% CI, 0.239-0.339)","0.684 (95% CI, 0.517-0.825)","0.146 (95% CI, 0.090-0.210)","0.437 (95% CI, 0.352-0.515)","0.103 (95% CI, 0.023-0.173)","0.221 (95% CI, 0.205-0.240)","0.739 (95% CI, 0.678-0.793)","0.633 (95% CI, 0.561-0.698)","0.334 (95% CI, 0.312-0.358)","0.392 (95% CI, 0.296-0.499)"
RF,ecfp1024,"0.797 (95% CI, 0.766-0.828)","0.822 (95% CI, 0.784-0.857)","0.766 (95% CI, 0.643-0.873)","0.882 (95% CI, 0.852-0.910)","0.157 (95% CI, 0.151-0.162)","0.215 (95% CI, 0.158-0.257)","0.217 (95% CI, 0.137-0.313)","0.517 (95% CI, 0.287-0.724)","0.146 (95% CI, 0.090-0.210)","0.444 (95% CI, 0.348-0.507)","0.048 (95% CI, -0.046-0.109)","0.192 (95% CI, 0.176-0.209)","0.675 (95% CI, 0.623-0.726)","0.560 (95% CI, 0.496-0.621)","0.395 (95% CI, 0.389-0.402)","0.464 (95% CI, 0.438-0.490)"
ExtraTrees,ecfp1024,"0.795 (95% CI, 0.765-0.828)","0.837 (95% CI, 0.790-0.881)","0.797 (95% CI, 0.663-0.911)","0.888 (95% CI, 0.851-0.923)","0.148 (95% CI, 0.142-0.154)","0.209 (95% CI, 0.150-0.252)","0.289 (95% CI, 0.212-0.360)","0.654 (95% CI, 0.463-0.822)","0.146 (95% CI, 0.090-0.210)","0.435 (95% CI, 0.333-0.501)","0.051 (95% CI, -0.048-0.115)","0.172 (95% CI, 0.153-0.192)","0.668 (95% CI, 0.616-0.721)","0.554 (95% CI, 0.487-0.622)","0.384 (95% CI, 0.377-0.393)","0.448 (95% CI, 0.421-0.477)"
GB,ecfp1024,"0.842 (95% CI, 0.806-0.873)","0.856 (95% CI, 0.809-0.898)","0.805 (95% CI, 0.673-0.912)","0.913 (95% CI, 0.878-0.940)","0.107 (95% CI, 0.090-0.125)","0.211 (95% CI, 0.125-0.288)","0.281 (95% CI, 0.199-0.363)","0.678 (95% CI, 0.512-0.823)","0.146 (95% CI, 0.090-0.210)","0.416 (95% CI, 0.284-0.532)","0.090 (95% CI, -0.026-0.193)","0.226 (95% CI, 0.192-0.256)","0.742 (95% CI, 0.677-0.799)","0.654 (95% CI, 0.590-0.720)","0.324 (95% CI, 0.297-0.352)","0.469 (95% CI, 0.311-0.625)"
XGB,ecfp1024,"0.852 (95% CI, 0.814-0.887)","0.860 (95% CI, 0.815-0.900)","0.784 (95% CI, 0.650-0.889)","0.905 (95% CI, 0.872-0.935)","0.103 (95% CI, 0.087-0.121)","0.207 (95% CI, 0.128-0.279)","0.278 (95% CI, 0.196-0.358)","0.674 (95% CI, 0.491-0.823)","0.146 (95% CI, 0.090-0.210)","0.420 (95% CI, 0.299-0.524)","0.103 (95% CI, -0.006-0.196)","0.197 (95% CI, 0.170-0.224)","0.757 (95% CI, 0.684-0.819)","0.666 (95% CI, 0.581-0.746)","0.318 (95% CI, 0.292-0.345)","0.449 (95% CI, 0.327-0.586)"
CatBoost,ecfp1024,"0.818 (95% CI, 0.789-0.842)","0.812 (95% CI, 0.757-0.860)","0.750 (95% CI, 0.617-0.865)","0.879 (95% CI, 0.838-0.913)","0.129 (95% CI, 0.108-0.152)","0.242 (95% CI, 0.147-0.330)","0.282 (95% CI, 0.180-0.381)","0.655 (95% CI, 0.486-0.810)","0.146 (95% CI, 0.090-0.210)","0.438 (95% CI, 0.281-0.571)","0.081 (95% CI, -0.061-0.207)","0.315 (95% CI, 0.274-0.357)","0.686 (95% CI, 0.632-0.738)","0.588 (95% CI, 0.525-0.646)","0.355 (95% CI, 0.325-0.388)","0.534 (95% CI, 0.333-0.730)"
BRF,ecfp1024,"0.794 (95% CI, 0.756-0.833)","0.836 (95% CI, 0.794-0.874)","0.808 (95% CI, 0.674-0.916)","0.886 (95% CI, 0.854-0.916)","0.151 (95% CI, 0.146-0.157)","0.212 (95% CI, 0.154-0.254)","0.219 (95% CI, 0.149-0.309)","0.697 (95% CI, 0.515-0.845)","0.146 (95% CI, 0.090-0.210)","0.440 (95% CI, 0.343-0.503)","0.052 (95% CI, -0.045-0.114)","0.187 (95% CI, 0.172-0.202)","0.683 (95% CI, 0.629-0.737)","0.567 (95% CI, 0.509-0.635)","0.388 (95% CI, 0.382-0.396)","0.440 (95% CI, 0.408-0.475)"
LogReg,ecfp2048,"0.822 (95% CI, 0.784-0.854)","0.864 (95% CI, 0.819-0.901)","0.806 (95% CI, 0.671-0.914)","0.916 (95% CI, 0.881-0.942)","0.109 (95% CI, 0.092-0.128)","0.211 (95% CI, 0.126-0.291)","0.287 (95% CI, 0.184-0.386)","0.666 (95% CI, 0.517-0.810)","0.146 (95% CI, 0.090-0.210)","0.409 (95% CI, 0.268-0.536)","0.082 (95% CI, -0.046-0.194)","0.230 (95% CI, 0.202-0.258)","0.742 (95% CI, 0.701-0.784)","0.628 (95% CI, 0.571-0.683)","0.327 (95% CI, 0.299-0.356)","0.460 (95% CI, 0.323-0.603)"
