model,backbone,ACC,ACC_CI_lower,ACC_CI_upper,AUPRC_active,AUPRC_active_CI_lower,AUPRC_active_CI_upper,AUPRC_cliff,AUPRC_cliff_CI_lower,AUPRC_cliff_CI_upper,AUROC,AUROC_CI_lower,AUROC_CI_upper,Brier,Brier_CI_lower,Brier_CI_upper,Cliff_Brier,Cliff_Brier_CI_lower,Cliff_Brier_CI_upper,Cliff_ECE,Cliff_ECE_CI_lower,Cliff_ECE_CI_upper,Cliff_F1,Cliff_F1_CI_lower,Cliff_F1_CI_upper,Cliff_NodeShare,Cliff_NodeShare_CI_lower,Cliff_NodeShare_CI_upper,Cliff_RMSE,Cliff_RMSE_CI_lower,Cliff_RMSE_CI_upper,Delta_RMSE,Delta_RMSE_CI_lower,Delta_RMSE_CI_upper,ECE,ECE_CI_lower,ECE_CI_upper,F1,F1_CI_lower,F1_CI_upper,MCC,MCC_CI_lower,MCC_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper,Threshold,Threshold_CI_lower,Threshold_CI_upper,n_cliff_pairs_CI_lower,n_cliff_pairs_CI_upper,n_test_CI_lower,n_test_CI_upper,n_train_CI_lower,n_train_CI_upper
LogReg,ecfp1024,0.841,0.814,0.868,0.860,0.814,0.899,0.799,0.664,0.906,0.913,0.879,0.939,0.108,0.091,0.128,0.211,0.126,0.290,0.290,0.186,0.385,0.641,0.460,0.802,0.146,0.090,0.210,0.409,0.267,0.534,0.081,-0.047,0.194,0.230,0.205,0.253,0.737,0.662,0.793,0.642,0.572,0.704,0.326,0.300,0.356,0.570,0.430,0.712,5.000,14.900,67.700,75.900,280.100,288.300
KNN,ecfp1024,0.780,0.749,0.807,0.812,0.765,0.852,0.710,0.557,0.843,0.889,0.857,0.916,0.123,0.112,0.135,0.257,0.174,0.328,0.323,0.220,0.420,0.534,0.294,0.760,0.146,0.090,0.210,0.472,0.338,0.571,0.123,-0.008,0.216,0.158,0.145,0.173,0.662,0.608,0.711,0.547,0.505,0.589,0.349,0.334,0.366,0.347,0.247,0.452,5.000,14.900,67.700,75.900,280.100,288.300
SVC,ecfp1024,0.837,0.809,0.864,0.799,0.743,0.849,0.789,0.644,0.904,0.894,0.859,0.921,0.113,0.098,0.130,0.208,0.143,0.270,0.285,0.239,0.339,0.684,0.517,0.825,0.146,0.090,0.210,0.437,0.352,0.515,0.103,0.023,0.173,0.221,0.205,0.240,0.739,0.678,0.793,0.633,0.561,0.698,0.334,0.312,0.358,0.392,0.296,0.499,5.000,14.900,67.700,75.900,280.100,288.300
RF,ecfp1024,0.797,0.766,0.828,0.822,0.784,0.857,0.766,0.643,0.873,0.882,0.852,0.910,0.157,0.151,0.162,0.215,0.158,0.257,0.217,0.137,0.313,0.517,0.287,0.724,0.146,0.090,0.210,0.444,0.348,0.507,0.048,-0.046,0.109,0.192,0.176,0.209,0.675,0.623,0.726,0.560,0.496,0.621,0.395,0.389,0.402,0.464,0.438,0.490,5.000,14.900,67.700,75.900,280.100,288.300
ExtraTrees,ecfp1024,0.795,0.765,0.828,0.837,0.790,0.881,0.797,0.663,0.911,0.888,0.851,0.923,0.148,0.142,0.154,0.209,0.150,0.252,0.289,0.212,0.360,0.654,0.463,0.822,0.146,0.090,0.210,0.435,0.333,0.501,0.051,-0.048,0.115,0.172,0.153,0.192,0.668,0.616,0.721,0.554,0.487,0.622,0.384,0.377,0.393,0.448,0.421,0.477,5.000,14.900,67.700,75.900,280.100,288.300
GB,ecfp1024,0.842,0.806,0.873,0.856,0.809,0.898,0.805,0.673,0.912,0.913,0.878,0.940,0.107,0.090,0.125,0.211,0.125,0.288,0.281,0.199,0.363,0.678,0.512,0.823,0.146,0.090,0.210,0.416,0.284,0.532,0.090,-0.026,0.193,0.226,0.192,0.256,0.742,0.677,0.799,0.654,0.590,0.720,0.324,0.297,0.352,0.469,0.311,0.625,5.000,14.900,67.700,75.900,280.100,288.300
XGB,ecfp1024,0.852,0.814,0.887,0.860,0.815,0.900,0.784,0.650,0.889,0.905,0.872,0.935,0.103,0.087,0.121,0.207,0.128,0.279,0.278,0.196,0.358,0.674,0.491,0.823,0.146,0.090,0.210,0.420,0.299,0.524,0.103,-0.006,0.196,0.197,0.170,0.224,0.757,0.684,0.819,0.666,0.581,0.746,0.318,0.292,0.345,0.449,0.327,0.586,5.000,14.900,67.700,75.900,280.100,288.300
CatBoost,ecfp1024,0.818,0.789,0.842,0.812,0.757,0.860,0.750,0.617,0.865,0.879,0.838,0.913,0.129,0.108,0.152,0.242,0.147,0.330,0.282,0.180,0.381,0.655,0.486,0.810,0.146,0.090,0.210,0.438,0.281,0.571,0.081,-0.061,0.207,0.315,0.274,0.357,0.686,0.632,0.738,0.588,0.525,0.646,0.355,0.325,0.388,0.534,0.333,0.730,5.000,14.900,67.700,75.900,280.100,288.300
BRF,ecfp1024,0.794,0.756,0.833,0.836,0.794,0.874,0.808,0.674,0.916,0.886,0.854,0.916,0.151,0.146,0.157,0.212,0.154,0.254,0.219,0.149,0.309,0.697,0.515,0.845,0.146,0.090,0.210,0.440,0.343,0.503,0.052,-0.045,0.114,0.187,0.172,0.202,0.683,0.629,0.737,0.567,0.509,0.635,0.388,0.382,0.396,0.440,0.408,0.475,5.000,14.900,67.700,75.900,280.100,288.300
LogReg,ecfp2048,0.822,0.784,0.854,0.864,0.819,0.901,0.806,0.671,0.914,0.916,0.881,0.942,0.109,0.092,0.128,0.211,0.126,0.291,0.287,0.184,0.386,0.666,0.517,0.810,0.146,0.090,0.210,0.409,0.268,0.536,0.082,-0.046,0.194,0.230,0.202,0.258,0.742,0.701,0.784,0.628,0.571,0.683,0.327,0.299,0.356,0.460,0.323,0.603,5.000,14.900,67.700,75.900,280.100,288.300
