AUROC,AUPRC_active,F1,MCC,ACC,Brier,ECE,RMSE,Cliff_Brier,Cliff_ECE,Cliff_RMSE,Cliff_F1,Delta_RMSE,AUPRC_cliff,Cliff_NodeShare,model,backbone,Threshold,Calibration,repeat,n_train,n_test,n_cliff_pairs
0.815,0.741,0.457,0.474,0.782,0.165,0.200,0.406,0.308,0.365,0.555,0.182,0.148,0.519,0.356,LogReg,descriptors,0.870,none,0,269,87,28
0.926,0.864,0.760,0.650,0.812,0.098,0.152,0.314,0.000,0.010,0.010,1.000,-0.304,1.000,0.031,LogReg,descriptors,0.260,none,1,292,64,1
0.958,0.934,0.737,0.667,0.851,0.084,0.244,0.289,0.000,0.007,0.007,1.000,-0.282,1.000,0.075,LogReg,descriptors,0.790,none,2,289,67,4
0.916,0.846,0.708,0.570,0.811,0.114,0.236,0.337,0.247,0.317,0.497,0.533,0.159,0.737,0.189,LogReg,descriptors,0.470,none,3,282,74,13
0.917,0.887,0.667,0.606,0.833,0.104,0.249,0.322,0.329,0.359,0.573,0.667,0.251,0.917,0.076,LogReg,descriptors,0.900,none,4,290,66,3
0.924,0.883,0.688,0.523,0.730,0.124,0.282,0.353,0.314,0.444,0.560,0.500,0.207,0.631,0.189,LogReg,descriptors,0.300,none,5,282,74,11
0.954,0.906,0.686,0.594,0.825,0.086,0.233,0.294,,,,,,,0.000,LogReg,descriptors,0.700,none,6,293,63,0
0.883,0.842,0.629,0.545,0.812,0.121,0.234,0.348,0.150,0.156,0.388,0.667,0.039,0.830,0.130,LogReg,descriptors,0.820,none,7,287,69,6
0.962,0.931,0.873,0.802,0.907,0.091,0.192,0.302,0.210,0.354,0.458,0.846,0.156,0.887,0.200,LogReg,descriptors,0.490,none,8,281,75,14
0.862,0.792,0.710,0.547,0.760,0.145,0.239,0.380,0.331,0.403,0.575,0.696,0.195,0.703,0.213,LogReg,descriptors,0.220,none,9,281,75,14
0.781,0.676,0.587,0.355,0.644,0.159,0.231,0.399,0.254,0.220,0.504,0.400,0.105,0.323,0.356,KNN,descriptors,0.140,none,0,269,87,28
0.914,0.815,0.756,0.635,0.828,0.120,0.190,0.346,0.000,0.000,0.000,1.000,-0.346,1.000,0.031,KNN,descriptors,0.210,none,1,292,64,1
0.958,0.919,0.833,0.742,0.881,0.088,0.170,0.297,0.044,0.200,0.209,1.000,-0.088,1.000,0.075,KNN,descriptors,0.340,none,2,289,67,4
0.901,0.814,0.679,0.516,0.770,0.120,0.134,0.346,0.281,0.479,0.530,0.533,0.184,0.725,0.189,KNN,descriptors,0.210,none,3,282,74,13
0.918,0.847,0.791,0.690,0.864,0.105,0.117,0.324,0.251,0.325,0.501,0.667,0.177,0.806,0.076,KNN,descriptors,0.340,none,4,290,66,3
0.903,0.835,0.677,0.501,0.730,0.116,0.158,0.341,0.245,0.406,0.495,0.429,0.154,0.585,0.189,KNN,descriptors,0.140,none,5,282,74,11
0.887,0.814,0.741,0.607,0.778,0.135,0.220,0.367,,,,,,,0.000,KNN,descriptors,0.070,none,6,293,63,0
0.875,0.805,0.667,0.488,0.754,0.124,0.180,0.352,0.160,0.283,0.401,0.857,0.049,0.861,0.130,KNN,descriptors,0.210,none,7,287,69,6
0.957,0.906,0.828,0.731,0.867,0.103,0.195,0.320,0.219,0.337,0.468,0.846,0.147,0.879,0.200,KNN,descriptors,0.210,none,8,281,75,14
0.840,0.698,0.667,0.473,0.707,0.156,0.178,0.395,0.337,0.433,0.580,0.696,0.185,0.558,0.213,KNN,descriptors,0.140,none,9,281,75,14
0.777,0.717,0.642,0.485,0.782,0.165,0.146,0.407,0.299,0.319,0.547,0.300,0.140,0.418,0.356,SVC,descriptors,0.520,none,0,269,87,28
0.922,0.854,0.706,0.622,0.844,0.114,0.142,0.337,0.032,0.178,0.179,1.000,-0.159,1.000,0.031,SVC,descriptors,0.500,none,1,292,64,1
0.976,0.951,0.414,0.434,0.746,0.072,0.218,0.269,0.029,0.167,0.171,0.750,-0.097,1.000,0.075,SVC,descriptors,0.810,none,2,289,67,4
0.923,0.871,0.735,0.607,0.824,0.107,0.202,0.326,0.259,0.367,0.509,0.571,0.183,0.685,0.189,SVC,descriptors,0.390,none,3,282,74,13
0.907,0.870,0.789,0.713,0.879,0.094,0.135,0.306,0.334,0.517,0.578,0.667,0.272,0.639,0.076,SVC,descriptors,0.650,none,4,290,66,3
0.884,0.771,0.750,0.619,0.811,0.125,0.166,0.354,0.279,0.401,0.528,0.462,0.174,0.396,0.189,SVC,descriptors,0.290,none,5,282,74,11
0.895,0.857,0.679,0.494,0.730,0.106,0.202,0.326,,,,,,,0.000,SVC,descriptors,0.140,none,6,293,63,0
0.913,0.872,0.800,0.727,0.884,0.106,0.187,0.325,0.185,0.271,0.430,0.667,0.105,0.812,0.130,SVC,descriptors,0.540,none,7,287,69,6
0.943,0.889,0.714,0.647,0.840,0.090,0.213,0.300,0.193,0.302,0.439,0.737,0.139,0.843,0.200,SVC,descriptors,0.710,none,8,281,75,14
0.905,0.857,0.840,0.760,0.893,0.120,0.183,0.347,0.258,0.323,0.508,0.762,0.161,0.754,0.213,SVC,descriptors,0.380,none,9,281,75,14
