feature,importance_mean,importance_std
ATSC5c,0.005679012345679002,0.0034457495646797263
MINaaaC,0.0052469135802469145,0.006626824244933315
ATSC4c,0.00493827160493826,0.003990920956850526
EState_VSA5,0.0038271604938271532,0.0016746493785494434
ATSC6c,0.0034567901234567877,0.002345679012345672
AATSC5c,0.0032098765432098885,0.003096280544193685
MATS4c,0.0029012345679012563,0.004561640688109248
MinAbsEStateIndex,0.0026543209876543237,0.0024699072868817956
SssS,0.001913580246913571,0.003004467536700737
ATSC6i,0.0017283950617283828,0.0020059354085520593
ATSC1p,0.0012962962962962733,0.006375978486580077
VR3_A,0.0011111111111111072,0.007344382082832521
SMR_VSA6,0.0009259259259259189,0.008612161978446312
AATSC6i,0.0008024691358024527,0.0014089768161127478
Xpc-6dv,0.00018518518518519932,0.003184251944821969
ATSC7c,6.172839506173311e-05,0.0015233287258337113
FilterItLogS,-0.000185185185185166,0.007324900584435512
AATSC0i,-0.00018518518518523264,0.000830470620189717
MAXaaaC,-0.0007407407407407196,0.004683228824294
Xpc-4dv,-0.000740740740740753,0.004415198701789546
ATS2s,-0.0013580246913580396,0.0030215403087705127
ATSC2m,-0.0017283950617283939,0.0014555340892038829
MATS1s,-0.001790123456790116,0.0018610880779853438
MinEStateIndex,-0.001913580246913582,0.0024914118605691904
Xc-3d,-0.0023456790123456807,0.0032756788052892786
ATS3s,-0.0024691358024691024,0.005259607013368101
Xc-5dv,-0.0025925925925925687,0.00372217615597071
Kappa1,-0.002777777777777779,0.005706121554758847
ZMIC1,-0.0059876543209876785,0.011581437986602723
n6Ring,-0.009629629629629644,0.009374590373614633
