AUROC,AUPRC_active,F1,MCC,ACC,Brier,ECE,RMSE,Cliff_Brier,Cliff_ECE,Cliff_RMSE,Cliff_F1,Delta_RMSE,AUPRC_cliff,Cliff_NodeShare,model,backbone,Threshold,Calibration,repeat,n_train,n_test,n_cliff_pairs
0.791,0.720,0.667,0.500,0.770,0.173,0.287,0.416,0.344,0.381,0.586,0.417,0.170,0.395,0.356,LogReg,ecfp2048,0.350,none,0,269,87,28
0.923,0.867,0.678,0.540,0.703,0.106,0.182,0.326,0.003,0.047,0.057,1.000,-0.268,1.000,0.031,LogReg,ecfp2048,0.080,none,1,292,64,1
0.985,0.972,0.864,0.799,0.910,0.058,0.176,0.242,0.001,0.022,0.025,1.000,-0.217,1.000,0.075,LogReg,ecfp2048,0.620,none,2,289,67,4
0.921,0.860,0.727,0.614,0.838,0.107,0.213,0.327,0.312,0.417,0.558,0.364,0.231,0.764,0.189,LogReg,ecfp2048,0.400,none,3,282,74,13
0.934,0.884,0.667,0.606,0.833,0.096,0.257,0.309,0.281,0.369,0.530,0.667,0.221,0.917,0.076,LogReg,ecfp2048,0.950,none,4,290,66,3
0.932,0.891,0.784,0.674,0.851,0.107,0.197,0.328,0.299,0.454,0.547,0.400,0.219,0.680,0.189,LogReg,ecfp2048,0.480,none,5,282,74,11
0.924,0.884,0.750,0.612,0.810,0.101,0.274,0.317,,,,,,,0.000,LogReg,ecfp2048,0.220,none,6,293,63,0
0.906,0.855,0.700,0.585,0.826,0.123,0.260,0.350,0.115,0.197,0.339,0.667,-0.011,0.950,0.130,LogReg,ecfp2048,0.660,none,7,287,69,6
0.961,0.921,0.857,0.778,0.893,0.080,0.167,0.282,0.220,0.241,0.469,0.846,0.187,0.883,0.200,LogReg,ecfp2048,0.420,none,8,281,75,14
0.878,0.787,0.724,0.570,0.787,0.137,0.288,0.370,0.328,0.456,0.573,0.636,0.203,0.669,0.213,LogReg,ecfp2048,0.420,none,9,281,75,14
0.780,0.675,0.474,0.418,0.770,0.159,0.194,0.399,0.266,0.226,0.515,0.000,0.116,0.309,0.356,KNN,ecfp2048,0.540,none,0,269,87,28
0.897,0.813,0.667,0.638,0.844,0.118,0.153,0.343,0.000,0.000,0.000,1.000,-0.343,1.000,0.031,KNN,ecfp2048,0.470,none,1,292,64,1
0.909,0.829,0.759,0.628,0.791,0.123,0.184,0.351,0.411,0.633,0.641,1.000,0.290,1.000,0.075,KNN,ecfp2048,0.210,none,2,289,67,4
0.886,0.794,0.762,0.675,0.865,0.122,0.183,0.349,0.320,0.292,0.565,0.400,0.217,0.598,0.189,KNN,ecfp2048,0.410,none,3,282,74,13
0.940,0.876,0.583,0.370,0.545,0.102,0.169,0.319,0.273,0.378,0.522,0.750,0.203,0.694,0.076,KNN,ecfp2048,0.010,none,4,290,66,3
0.884,0.819,0.760,0.639,0.838,0.118,0.142,0.344,0.262,0.260,0.512,0.400,0.168,0.495,0.189,KNN,ecfp2048,0.470,none,5,282,74,11
0.869,0.807,0.718,0.596,0.825,0.125,0.119,0.354,,,,,,,0.000,KNN,ecfp2048,0.270,none,6,293,63,0
0.914,0.864,0.691,0.528,0.754,0.101,0.090,0.317,0.145,0.133,0.380,0.750,0.063,0.854,0.130,KNN,ecfp2048,0.210,none,7,287,69,6
0.959,0.911,0.833,0.761,0.893,0.114,0.245,0.337,0.319,0.448,0.565,0.737,0.227,0.865,0.200,KNN,ecfp2048,0.340,none,8,281,75,14
0.837,0.712,0.579,0.498,0.787,0.152,0.229,0.389,0.352,0.407,0.593,0.333,0.204,0.563,0.213,KNN,ecfp2048,0.470,none,9,281,75,14
0.767,0.591,0.690,0.538,0.793,0.168,0.287,0.410,0.344,0.387,0.587,0.417,0.177,0.341,0.356,SVC,ecfp2048,0.250,none,0,269,87,28
0.911,0.772,0.600,0.545,0.812,0.116,0.218,0.341,0.048,0.218,0.220,1.000,-0.121,1.000,0.031,SVC,ecfp2048,0.650,none,1,292,64,1
0.962,0.916,0.898,0.843,0.925,0.076,0.214,0.275,0.045,0.206,0.213,1.000,-0.062,1.000,0.075,SVC,ecfp2048,0.300,none,2,289,67,4
0.923,0.862,0.745,0.620,0.824,0.104,0.226,0.323,0.263,0.389,0.512,0.667,0.189,0.711,0.189,SVC,ecfp2048,0.260,none,3,282,74,13
0.919,0.881,0.837,0.759,0.894,0.092,0.234,0.303,0.290,0.286,0.538,0.667,0.236,0.917,0.076,SVC,ecfp2048,0.340,none,4,290,66,3
0.899,0.741,0.784,0.674,0.851,0.112,0.191,0.334,0.250,0.406,0.500,0.400,0.166,0.672,0.189,SVC,ecfp2048,0.350,none,5,282,74,11
0.893,0.779,0.744,0.612,0.825,0.106,0.287,0.326,,,,,,,0.000,SVC,ecfp2048,0.160,none,6,293,63,0
0.883,0.775,0.700,0.585,0.826,0.126,0.089,0.355,0.151,0.266,0.389,0.667,0.034,0.950,0.130,SVC,ecfp2048,0.410,none,7,287,69,6
0.918,0.800,0.862,0.788,0.893,0.087,0.238,0.294,0.212,0.163,0.461,0.846,0.166,0.668,0.200,SVC,ecfp2048,0.210,none,8,281,75,14
0.884,0.805,0.724,0.570,0.787,0.134,0.157,0.366,0.268,0.416,0.518,0.636,0.152,0.737,0.213,SVC,ecfp2048,0.270,none,9,281,75,14
0.795,0.723,0.486,0.459,0.782,0.177,0.162,0.420,0.231,0.139,0.481,0.000,0.061,0.377,0.356,RF,ecfp2048,0.520,none,0,269,87,28
0.914,0.876,0.571,0.561,0.812,0.153,0.196,0.391,0.008,0.088,0.088,1.000,-0.303,1.000,0.031,RF,ecfp2048,0.500,none,1,292,64,1
0.931,0.870,0.762,0.661,0.851,0.160,0.225,0.401,0.268,0.517,0.517,0.889,0.117,1.000,0.075,RF,ecfp2048,0.480,none,2,289,67,4
0.877,0.816,0.692,0.537,0.784,0.153,0.181,0.391,0.239,0.181,0.489,0.500,0.098,0.773,0.189,RF,ecfp2048,0.410,none,3,282,74,13
0.922,0.863,0.629,0.521,0.803,0.162,0.206,0.402,0.231,0.340,0.481,0.667,0.079,0.917,0.076,RF,ecfp2048,0.510,none,4,290,66,3
0.863,0.812,0.656,0.465,0.703,0.169,0.188,0.411,0.235,0.259,0.485,0.462,0.074,0.642,0.189,RF,ecfp2048,0.420,none,5,282,74,11
0.822,0.781,0.588,0.471,0.778,0.164,0.187,0.405,,,,,,,0.000,RF,ecfp2048,0.500,none,6,293,63,0
0.892,0.849,0.692,0.529,0.768,0.161,0.244,0.401,0.161,0.269,0.401,0.750,-0.000,0.950,0.130,RF,ecfp2048,0.450,none,7,287,69,6
0.940,0.911,0.828,0.731,0.867,0.164,0.211,0.404,0.266,0.267,0.516,0.846,0.111,0.849,0.200,RF,ecfp2048,0.420,none,8,281,75,14
0.811,0.719,0.542,0.327,0.707,0.179,0.161,0.423,0.286,0.390,0.535,0.444,0.112,0.630,0.213,RF,ecfp2048,0.430,none,9,281,75,14
0.756,0.679,0.512,0.387,0.759,0.171,0.165,0.413,0.230,0.142,0.479,0.167,0.066,0.393,0.356,ExtraTrees,ecfp2048,0.460,none,0,269,87,28
0.920,0.885,0.571,0.561,0.812,0.147,0.213,0.383,0.007,0.082,0.082,1.000,-0.301,1.000,0.031,ExtraTrees,ecfp2048,0.480,none,1,292,64,1
0.955,0.908,0.750,0.662,0.851,0.148,0.220,0.385,0.249,0.499,0.499,1.000,0.114,1.000,0.075,ExtraTrees,ecfp2048,0.490,none,2,289,67,4
0.876,0.808,0.704,0.554,0.784,0.145,0.135,0.381,0.244,0.118,0.494,0.500,0.114,0.751,0.189,ExtraTrees,ecfp2048,0.380,none,3,282,74,13
0.909,0.856,0.667,0.606,0.833,0.150,0.185,0.387,0.228,0.075,0.477,0.667,0.090,0.917,0.076,ExtraTrees,ecfp2048,0.500,none,4,290,66,3
0.863,0.822,0.678,0.500,0.743,0.159,0.192,0.399,0.240,0.225,0.490,0.462,0.091,0.675,0.189,ExtraTrees,ecfp2048,0.430,none,5,282,74,11
0.828,0.782,0.683,0.530,0.794,0.155,0.155,0.394,,,,,,,0.000,ExtraTrees,ecfp2048,0.440,none,6,293,63,0
0.889,0.841,0.643,0.445,0.710,0.150,0.188,0.387,0.151,0.253,0.389,0.750,0.002,0.950,0.130,ExtraTrees,ecfp2048,0.400,none,7,287,69,6
0.943,0.913,0.821,0.721,0.867,0.154,0.224,0.393,0.263,0.277,0.513,0.800,0.120,0.822,0.200,ExtraTrees,ecfp2048,0.430,none,8,281,75,14
0.800,0.711,0.550,0.424,0.760,0.172,0.142,0.415,0.288,0.265,0.537,0.333,0.122,0.630,0.213,ExtraTrees,ecfp2048,0.470,none,9,281,75,14
0.794,0.715,0.604,0.430,0.759,0.155,0.231,0.394,0.280,0.335,0.529,0.381,0.135,0.358,0.356,GB,ecfp2048,0.450,none,0,269,87,28
0.927,0.870,0.571,0.561,0.812,0.106,0.274,0.325,0.002,0.033,0.040,1.000,-0.285,1.000,0.031,GB,ecfp2048,0.760,none,1,292,64,1
0.980,0.964,0.657,0.472,0.642,0.067,0.219,0.258,0.015,0.125,0.123,1.000,-0.135,1.000,0.075,GB,ecfp2048,0.050,none,2,289,67,4
0.910,0.790,0.727,0.614,0.838,0.112,0.247,0.335,0.348,0.462,0.590,0.364,0.255,0.623,0.189,GB,ecfp2048,0.300,none,3,282,74,13
0.949,0.890,0.667,0.606,0.833,0.093,0.223,0.305,0.304,0.393,0.551,0.667,0.246,0.917,0.076,GB,ecfp2048,0.810,none,4,290,66,3
0.913,0.819,0.760,0.639,0.838,0.099,0.151,0.314,0.279,0.424,0.528,0.400,0.214,0.613,0.189,GB,ecfp2048,0.450,none,5,282,74,11
0.942,0.901,0.778,0.712,0.873,0.107,0.256,0.327,,,,,,,0.000,GB,ecfp2048,0.410,none,6,293,63,0
0.926,0.871,0.739,0.610,0.826,0.108,0.239,0.328,0.116,0.210,0.340,0.857,0.012,0.950,0.130,GB,ecfp2048,0.270,none,7,287,69,6
0.969,0.943,0.893,0.835,0.920,0.066,0.266,0.257,0.190,0.354,0.436,0.846,0.179,0.864,0.200,GB,ecfp2048,0.310,none,8,281,75,14
0.869,0.758,0.733,0.586,0.787,0.148,0.241,0.385,0.352,0.406,0.594,0.696,0.209,0.623,0.213,GB,ecfp2048,0.170,none,9,281,75,14
0.778,0.726,0.591,0.484,0.793,0.162,0.219,0.402,0.280,0.337,0.530,0.375,0.127,0.417,0.356,XGB,ecfp2048,0.660,none,0,269,87,28
0.927,0.905,0.788,0.749,0.891,0.086,0.139,0.294,0.006,0.071,0.074,1.000,-0.219,1.000,0.031,XGB,ecfp2048,0.620,none,1,292,64,1
