AUROC,AUPRC_active,F1,MCC,ACC,Brier,ECE,RMSE,Cliff_Brier,Cliff_ECE,Cliff_RMSE,Cliff_F1,Delta_RMSE,AUPRC_cliff,Cliff_NodeShare,model,backbone,Threshold,Calibration,repeat,n_train,n_test,n_cliff_pairs
0.748,0.640,0.558,0.451,0.782,0.178,0.182,0.421,0.313,0.406,0.559,0.267,0.138,0.348,0.356,LogReg,maccs,0.800,none,0,269,87,28
0.899,0.860,0.688,0.626,0.844,0.119,0.157,0.345,0.001,0.033,0.033,1.000,-0.312,1.000,0.031,LogReg,maccs,0.740,none,1,292,64,1
0.955,0.927,0.840,0.752,0.881,0.087,0.173,0.295,0.005,0.071,0.070,1.000,-0.226,1.000,0.075,LogReg,maccs,0.390,none,2,289,67,4
0.910,0.819,0.683,0.572,0.824,0.118,0.240,0.343,0.272,0.277,0.521,0.400,0.179,0.730,0.189,LogReg,maccs,0.600,none,3,282,74,13
0.904,0.849,0.533,0.487,0.788,0.115,0.176,0.339,0.320,0.292,0.566,0.667,0.227,0.867,0.076,LogReg,maccs,0.910,none,4,290,66,3
0.905,0.855,0.727,0.582,0.797,0.135,0.218,0.367,0.355,0.430,0.596,0.462,0.229,0.631,0.189,LogReg,maccs,0.430,none,5,282,74,11
0.872,0.823,0.703,0.593,0.825,0.131,0.189,0.362,,,,,,,0.000,LogReg,maccs,0.650,none,6,293,63,0
0.859,0.732,0.727,0.600,0.826,0.148,0.218,0.384,0.164,0.153,0.405,0.667,0.021,0.887,0.130,LogReg,maccs,0.630,none,7,287,69,6
0.930,0.800,0.806,0.702,0.840,0.102,0.247,0.319,0.207,0.301,0.454,0.846,0.136,0.885,0.200,LogReg,maccs,0.350,none,8,281,75,14
0.880,0.812,0.750,0.634,0.840,0.128,0.181,0.358,0.247,0.278,0.497,0.706,0.138,0.758,0.213,LogReg,maccs,0.410,none,9,281,75,14
0.824,0.753,0.564,0.524,0.805,0.141,0.153,0.376,0.248,0.298,0.498,0.000,0.122,0.362,0.356,KNN,maccs,0.470,none,0,269,87,28
0.873,0.813,0.571,0.561,0.812,0.119,0.203,0.345,0.004,0.067,0.067,1.000,-0.278,1.000,0.031,KNN,maccs,0.540,none,1,292,64,1
0.943,0.892,0.846,0.764,0.881,0.116,0.210,0.340,0.360,0.600,0.600,1.000,0.260,1.000,0.075,KNN,maccs,0.270,none,2,289,67,4
0.886,0.778,0.780,0.708,0.878,0.118,0.239,0.344,0.317,0.373,0.563,0.400,0.219,0.601,0.189,KNN,maccs,0.410,none,3,282,74,13
0.920,0.807,0.706,0.643,0.848,0.110,0.170,0.332,0.317,0.456,0.563,0.667,0.231,0.644,0.076,KNN,maccs,0.470,none,4,290,66,3
0.888,0.786,0.727,0.582,0.797,0.120,0.209,0.346,0.270,0.358,0.520,0.462,0.174,0.462,0.189,KNN,maccs,0.340,none,5,282,74,11
0.859,0.789,0.647,0.555,0.810,0.130,0.156,0.360,,,,,,,0.000,KNN,maccs,0.340,none,6,293,63,0
0.902,0.833,0.723,0.584,0.812,0.106,0.157,0.326,0.130,0.363,0.360,0.857,0.034,0.950,0.130,KNN,maccs,0.270,none,7,287,69,6
0.960,0.901,0.541,0.490,0.773,0.122,0.192,0.349,0.336,0.469,0.580,0.000,0.231,0.762,0.200,KNN,maccs,0.410,none,8,281,75,14
0.812,0.689,0.520,0.280,0.680,0.159,0.195,0.398,0.360,0.400,0.600,0.375,0.202,0.560,0.213,KNN,maccs,0.270,none,9,281,75,14
0.784,0.637,0.621,0.435,0.747,0.152,0.218,0.390,0.320,0.345,0.566,0.286,0.176,0.405,0.356,SVC,maccs,0.250,none,0,269,87,28
0.934,0.880,0.765,0.703,0.875,0.101,0.174,0.318,0.029,0.166,0.172,1.000,-0.146,1.000,0.031,SVC,maccs,0.540,none,1,292,64,1
0.962,0.910,0.829,0.767,0.896,0.090,0.327,0.301,0.066,0.272,0.257,1.000,-0.044,1.000,0.075,SVC,maccs,0.490,none,2,289,67,4
0.927,0.869,0.717,0.575,0.797,0.109,0.277,0.330,0.259,0.377,0.509,0.667,0.179,0.681,0.189,SVC,maccs,0.340,none,3,282,74,13
0.928,0.885,0.757,0.676,0.864,0.096,0.264,0.310,0.289,0.275,0.538,0.667,0.228,0.806,0.076,SVC,maccs,0.570,none,4,290,66,3
0.898,0.753,0.772,0.656,0.824,0.129,0.284,0.360,0.318,0.390,0.564,0.462,0.204,0.547,0.189,SVC,maccs,0.190,none,5,282,74,11
0.880,0.866,0.706,0.638,0.841,0.116,0.222,0.340,,,,,,,0.000,SVC,maccs,0.560,none,6,293,63,0
0.890,0.868,0.739,0.610,0.826,0.112,0.208,0.334,0.192,0.171,0.438,0.667,0.104,0.817,0.130,SVC,maccs,0.320,none,7,287,69,6
0.931,0.814,0.816,0.731,0.880,0.088,0.222,0.297,0.229,0.384,0.478,0.667,0.181,0.686,0.200,SVC,maccs,0.630,none,8,281,75,14
0.870,0.790,0.651,0.530,0.800,0.137,0.130,0.370,0.281,0.341,0.530,0.462,0.160,0.678,0.213,SVC,maccs,0.440,none,9,281,75,14
0.807,0.754,0.564,0.524,0.805,0.166,0.166,0.407,0.236,0.251,0.486,0.000,0.079,0.315,0.356,RF,maccs,0.560,none,0,269,87,28
0.915,0.877,0.621,0.600,0.828,0.139,0.210,0.373,0.004,0.059,0.059,1.000,-0.314,1.000,0.031,RF,maccs,0.570,none,1,292,64,1
0.943,0.912,0.783,0.669,0.851,0.137,0.206,0.371,0.204,0.452,0.452,1.000,0.081,1.000,0.075,RF,maccs,0.480,none,2,289,67,4
0.884,0.824,0.756,0.649,0.851,0.141,0.185,0.376,0.230,0.295,0.479,0.545,0.104,0.750,0.189,RF,maccs,0.470,none,3,282,74,13
0.903,0.845,0.686,0.600,0.833,0.140,0.219,0.375,0.243,0.115,0.493,0.667,0.118,0.806,0.076,RF,maccs,0.540,none,4,290,66,3
0.881,0.846,0.678,0.500,0.743,0.148,0.211,0.385,0.257,0.302,0.507,0.462,0.122,0.655,0.189,RF,maccs,0.380,none,5,282,74,11
