fragment_smiles,ac_enrichment,n_cliff_pairs,cliff_pairs,cliff_pair_indices
[*]c1ccc([*])cc1,74.63330307299168,16,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(Cl)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccccc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1; COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21; Cc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1|O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Cl)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,0; 7; 9; 10; 11; 12; 13; 14; 15; 16; 26; 32; 39; 40; 41; 42
[*]CC[*],44.65616778224159,4,COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,15; 17; 18; 19
[*]OC,31.184135079610712,9,COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(Cl)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(N(C)C)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccccc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21,7; 8; 9; 10; 11; 12; 13; 14; 16
[*]c1ccc(C#N)cc1,27.540893316239146,4,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S,31; 33; 34; 35
[*]n1c([*])nc2ccccc21,19.97800289115442,3,O=C(O)CN1C(=O)/C(=C/c2nc3cc(F)ccc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S; O=C(O)CN1C(=O)/C(=C/c2nc3ccc(Cl)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S; O=C(O)CN1C(=O)/C(=C/c2nc3ccc(F)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,43; 44; 45
[*]C(F)(F)F,18.467488394866372,3,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,32; 41; 42
[*]N1CCN(C)CC1,14.838942186002344,2,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1; COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,5; 6
[*]c1ccc(Br)cc1,14.062328574953948,8,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1; Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,11; 20; 21; 24; 33; 36; 39; 41
[*]C([*])=O,12.673836218071449,1,COC(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1,1
[*]c1ccc(O)cc1,8.339460612344956,1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1,18
