fragment_smiles,frequency_total,frequency_active,frequency_inactive,presence_active_pct,presence_inactive_pct,importance,stability,ac_enrichment,n_cliff_pairs,is_selected,selection_method,was_removed_by_AC
[*]N[*],69,51,18,43.59,7.53,0.397281,1.0,0.0,0,True,threshold,False
[*]OC,134,71,63,60.68,26.36,0.274271,1.0,31.184135,9,True,threshold,False
[*]C[*],114,45,69,38.46,28.87,0.179159,1.0,0.0,0,True,threshold,False
[*]c1cc2nccc([*])c2cc1[*],34,33,1,28.21,0.42,0.162426,1.0,0.0,0,True,threshold,False
[*]O[*],42,36,6,30.77,2.51,0.145985,1.0,0.0,0,True,threshold,False
[*]CCC[*],32,30,2,25.64,0.84,0.117803,1.0,-44.656168,4,False,threshold,True
[*]C(=O)NN1C(=O)CSC1[*],32,30,2,25.64,0.84,0.109046,1.0,0.0,0,True,threshold,False
[*]C(F)(F)F,26,9,17,7.69,7.11,0.101161,1.0,18.467488,3,True,threshold,False
[*]c1ccc([*])cc1,56,25,31,21.37,12.97,0.083662,1.0,74.633303,16,True,threshold,False
[*]c1nc2cc([*])ccc2[nH]1,18,17,1,14.53,0.42,0.075718,1.0,0.0,0,True,threshold,False
[*]n1c([*])nc2ccccc21,23,12,11,10.26,4.6,0.06651,1.0,19.978003,3,True,threshold,False
[*]N1CCOCC1,18,17,1,14.53,0.42,0.059338,1.0,4.461101,2,True,threshold,False
[*]N1CCCS1(=O)=O,12,12,0,10.26,0.0,0.05706,1.0,0.0,0,True,threshold,False
[*]C(=O)C[*],52,26,26,22.22,10.88,0.05664,1.0,0.0,0,True,threshold,False
[*]C1SC(=O)NC1=O,32,7,25,5.98,10.46,0.056084,1.0,0.0,0,True,threshold,False
[*]C1SC(=S)N([*])C1=O,51,19,32,16.24,13.39,0.049777,1.0,0.0,0,True,threshold,False
[*]N1/C(=N/c2ccc(Cl)c([*])c2)SCC1([*])O,5,5,0,4.27,0.0,0.045331,1.0,0.0,0,True,threshold,False
[*]C([*])=O,16,10,6,8.55,2.51,0.045127,1.0,12.673836,1,True,threshold,False
[*]C1SC(=O)N([*])C1=O,43,19,24,16.24,10.04,0.043411,1.0,0.0,0,True,threshold,False
