model,threshold,AUROC,AUPRC_active,Accuracy,Precision,Recall,F1,MCC,Brier,RMSE,repeat,n_train,n_test
LogReg,0.500,0.926,0.886,0.887,0.810,0.810,0.810,0.730,0.114,0.338,0,285,71
LogReg,0.440,0.946,0.892,0.859,0.677,1.000,0.808,0.736,0.110,0.332,1,285,71
LogReg,0.390,0.868,0.802,0.789,0.600,0.857,0.706,0.570,0.136,0.369,2,285,71
LogReg,0.410,0.943,0.901,0.859,0.690,0.952,0.800,0.717,0.115,0.339,3,285,71
LogReg,0.460,0.965,0.930,0.915,0.800,0.952,0.870,0.814,0.099,0.315,4,285,71
LogReg,0.710,0.925,0.909,0.930,1.000,0.762,0.865,0.832,0.113,0.336,5,285,71
LogReg,0.580,0.927,0.895,0.901,0.889,0.762,0.821,0.757,0.105,0.324,6,285,71
LogReg,0.660,0.951,0.945,0.958,1.000,0.857,0.923,0.899,0.092,0.303,7,285,71
LogReg,0.530,0.953,0.940,0.930,0.900,0.857,0.878,0.829,0.096,0.310,8,285,71
LogReg,0.360,0.873,0.793,0.775,0.576,0.905,0.704,0.572,0.140,0.374,9,285,71
KNN,0.270,0.943,0.875,0.887,0.741,0.952,0.833,0.764,0.105,0.325,0,285,71
KNN,0.410,0.935,0.863,0.873,0.833,0.714,0.769,0.686,0.098,0.314,1,285,71
KNN,0.410,0.795,0.724,0.845,0.917,0.524,0.667,0.614,0.139,0.373,2,285,71
KNN,0.470,0.938,0.896,0.901,0.938,0.714,0.811,0.758,0.095,0.308,3,285,71
KNN,0.340,0.935,0.886,0.901,0.818,0.857,0.837,0.767,0.096,0.310,4,285,71
KNN,0.470,0.900,0.879,0.901,0.889,0.762,0.821,0.757,0.093,0.305,5,285,71
KNN,0.210,0.943,0.885,0.873,0.714,0.952,0.816,0.740,0.093,0.304,6,285,71
KNN,0.540,0.945,0.920,0.944,1.000,0.810,0.895,0.866,0.077,0.277,7,285,71
KNN,0.270,0.954,0.897,0.901,0.792,0.905,0.844,0.776,0.087,0.295,8,285,71
KNN,0.270,0.863,0.781,0.845,0.750,0.714,0.732,0.623,0.122,0.349,9,285,71
SVC,0.200,0.925,0.880,0.845,0.679,0.905,0.776,0.677,0.106,0.326,0,285,71
SVC,0.300,0.943,0.790,0.887,0.741,0.952,0.833,0.764,0.090,0.300,1,285,71
SVC,0.450,0.867,0.683,0.859,0.739,0.810,0.773,0.672,0.127,0.357,2,285,71
SVC,0.600,0.890,0.681,0.901,0.818,0.857,0.837,0.767,0.102,0.319,3,285,71
SVC,0.250,0.922,0.737,0.901,0.769,0.952,0.851,0.789,0.098,0.313,4,285,71
SVC,0.570,0.893,0.898,0.930,0.944,0.810,0.872,0.828,0.090,0.300,5,285,71
SVC,0.300,0.907,0.852,0.887,0.783,0.857,0.818,0.738,0.096,0.309,6,285,71
SVC,0.310,0.929,0.813,0.930,0.864,0.905,0.884,0.834,0.081,0.285,7,285,71
SVC,0.570,0.963,0.946,0.944,1.000,0.810,0.895,0.866,0.071,0.266,8,285,71
SVC,0.410,0.895,0.834,0.845,0.727,0.762,0.744,0.634,0.116,0.340,9,285,71
RF,0.430,0.821,0.625,0.718,0.513,0.952,0.667,0.525,0.204,0.452,0,285,71
RF,0.500,0.839,0.732,0.817,0.700,0.667,0.683,0.555,0.194,0.440,1,285,71
RF,0.500,0.711,0.638,0.761,0.625,0.476,0.541,0.389,0.203,0.451,2,285,71
RF,0.470,0.852,0.737,0.775,0.581,0.857,0.692,0.549,0.196,0.443,3,285,71
RF,0.480,0.815,0.677,0.761,0.577,0.714,0.638,0.468,0.199,0.446,4,285,71
RF,0.490,0.891,0.841,0.845,0.708,0.810,0.756,0.646,0.188,0.433,5,285,71
RF,0.470,0.885,0.818,0.845,0.750,0.714,0.732,0.623,0.183,0.428,6,285,71
RF,0.510,0.935,0.907,0.915,0.895,0.810,0.850,0.793,0.181,0.426,7,285,71
RF,0.470,0.907,0.864,0.873,0.773,0.810,0.791,0.700,0.180,0.425,8,285,71
RF,0.470,0.761,0.671,0.775,0.647,0.524,0.579,0.432,0.193,0.440,9,285,71
BRF,0.440,0.829,0.727,0.775,0.600,0.714,0.652,0.491,0.195,0.441,0,285,71
BRF,0.520,0.867,0.833,0.887,0.933,0.667,0.778,0.723,0.184,0.429,1,285,71
BRF,0.540,0.703,0.655,0.817,0.900,0.429,0.581,0.536,0.193,0.440,2,285,71
BRF,0.500,0.906,0.862,0.873,0.800,0.762,0.780,0.692,0.179,0.423,3,285,71
BRF,0.500,0.900,0.861,0.887,0.882,0.714,0.789,0.721,0.184,0.428,4,285,71
BRF,0.540,0.897,0.880,0.915,0.941,0.762,0.842,0.793,0.176,0.420,5,285,71
BRF,0.480,0.893,0.838,0.859,0.824,0.667,0.737,0.649,0.175,0.418,6,285,71
BRF,0.530,0.947,0.933,0.958,1.000,0.857,0.923,0.899,0.166,0.408,7,285,71
BRF,0.520,0.904,0.879,0.901,1.000,0.667,0.800,0.765,0.172,0.415,8,285,71
BRF,0.550,0.763,0.687,0.831,1.000,0.429,0.600,0.588,0.188,0.433,9,285,71
ExtraTrees,0.430,0.854,0.742,0.817,0.654,0.810,0.723,0.596,0.188,0.433,0,285,71
ExtraTrees,0.490,0.887,0.845,0.873,0.875,0.667,0.757,0.685,0.167,0.408,1,285,71
ExtraTrees,0.500,0.729,0.687,0.831,0.909,0.476,0.625,0.575,0.184,0.429,2,285,71
ExtraTrees,0.510,0.915,0.882,0.915,0.895,0.810,0.850,0.793,0.168,0.410,3,285,71
ExtraTrees,0.520,0.901,0.874,0.915,1.000,0.714,0.833,0.799,0.172,0.414,4,285,71
ExtraTrees,0.560,0.896,0.862,0.915,0.941,0.762,0.842,0.793,0.168,0.410,5,285,71
ExtraTrees,0.430,0.910,0.858,0.831,0.655,0.905,0.760,0.654,0.163,0.404,6,285,71
ExtraTrees,0.490,0.958,0.944,0.958,1.000,0.857,0.923,0.899,0.153,0.392,7,285,71
ExtraTrees,0.460,0.910,0.888,0.915,0.895,0.810,0.850,0.793,0.159,0.398,8,285,71
ExtraTrees,0.470,0.782,0.703,0.789,0.688,0.524,0.595,0.463,0.177,0.421,9,285,71
GB,0.400,0.899,0.821,0.859,0.762,0.762,0.762,0.662,0.117,0.342,0,285,71
GB,0.390,0.914,0.847,0.845,0.727,0.762,0.744,0.634,0.106,0.326,1,285,71
GB,0.590,0.820,0.754,0.859,1.000,0.524,0.688,0.661,0.134,0.366,2,285,71
GB,0.490,0.913,0.860,0.887,0.810,0.810,0.810,0.730,0.108,0.328,3,285,71
GB,0.530,0.920,0.851,0.887,0.810,0.810,0.810,0.730,0.111,0.334,4,285,71
GB,0.700,0.901,0.886,0.915,0.941,0.762,0.842,0.793,0.094,0.306,5,285,71
GB,0.280,0.935,0.899,0.873,0.731,0.905,0.809,0.724,0.081,0.285,6,285,71
GB,0.690,0.950,0.941,0.958,1.000,0.857,0.923,0.899,0.065,0.255,7,285,71
GB,0.530,0.964,0.933,0.930,1.000,0.762,0.865,0.832,0.069,0.263,8,285,71
GB,0.370,0.859,0.790,0.845,0.857,0.571,0.686,0.610,0.123,0.351,9,285,71
XGB,0.210,0.826,0.652,0.775,0.576,0.905,0.704,0.572,0.150,0.387,0,285,71
XGB,0.520,0.850,0.727,0.831,0.714,0.714,0.714,0.594,0.138,0.372,1,285,71
XGB,0.430,0.713,0.651,0.775,0.632,0.571,0.600,0.445,0.173,0.416,2,285,71
XGB,0.580,0.888,0.761,0.845,0.778,0.667,0.718,0.615,0.132,0.363,3,285,71
XGB,0.530,0.857,0.802,0.873,0.875,0.667,0.757,0.685,0.126,0.355,4,285,71
XGB,0.470,0.868,0.776,0.845,0.708,0.810,0.756,0.646,0.129,0.359,5,285,71
XGB,0.590,0.879,0.832,0.887,1.000,0.619,0.765,0.731,0.110,0.332,6,285,71
XGB,0.650,0.939,0.914,0.944,1.000,0.810,0.895,0.866,0.096,0.309,7,285,71
XGB,0.610,0.864,0.859,0.915,1.000,0.714,0.833,0.799,0.097,0.312,8,285,71
XGB,0.190,0.750,0.643,0.761,0.577,0.714,0.638,0.468,0.164,0.404,9,285,71
CatBoost,0.220,0.871,0.838,0.859,0.762,0.762,0.762,0.662,0.116,0.340,0,285,71
CatBoost,0.880,0.960,0.918,0.915,0.941,0.762,0.842,0.793,0.091,0.301,1,285,71
CatBoost,0.760,0.857,0.784,0.873,0.875,0.667,0.757,0.685,0.121,0.347,2,285,71
CatBoost,0.860,0.946,0.896,0.915,0.895,0.810,0.850,0.793,0.096,0.310,3,285,71
CatBoost,0.720,0.914,0.821,0.915,0.895,0.810,0.850,0.793,0.083,0.287,4,285,71
CatBoost,0.560,0.943,0.920,0.915,0.895,0.810,0.850,0.793,0.079,0.282,5,285,71
CatBoost,0.250,0.912,0.872,0.873,0.750,0.857,0.800,0.711,0.096,0.310,6,285,71
CatBoost,0.750,0.951,0.938,0.944,1.000,0.810,0.895,0.866,0.056,0.236,7,285,71
CatBoost,0.480,0.944,0.935,0.944,0.947,0.857,0.900,0.863,0.058,0.242,8,285,71
